Algoritmo       Computadora       Tiempo
'Algoritmo A'  'Computadora 1'    12976
'Algoritmo A'  'Computadora 1'    14854
'Algoritmo A'  'Computadora 1'    13627
'Algoritmo A'  'Computadora 1'     9850
'Algoritmo A'  'Computadora 1'    14466
'Algoritmo A'  'Computadora 1'    11598
'Algoritmo A'  'Computadora 1'    13184
'Algoritmo A'  'Computadora 1'    13096
'Algoritmo A'  'Computadora 1'    14895
'Algoritmo A'  'Computadora 1'    15986
'Algoritmo A'  'Computadora 1'    12327
'Algoritmo A'  'Computadora 1'    11168
'Algoritmo A'  'Computadora 1'     9913
'Algoritmo A'  'Computadora 1'    11698
'Algoritmo A'  'Computadora 1'    16033
'Algoritmo A'  'Computadora 1'    13763
'Algoritmo A'  'Computadora 1'    10237
'Algoritmo A'  'Computadora 1'    13208
'Algoritmo A'  'Computadora 1'    15407
'Algoritmo A'  'Computadora 1'    13587
'Algoritmo A'  'Computadora 2'     9033
'Algoritmo A'  'Computadora 2'    11253
'Algoritmo A'  'Computadora 2'    11842
'Algoritmo A'  'Computadora 2'     9018
'Algoritmo A'  'Computadora 2'    11091
'Algoritmo A'  'Computadora 2'    11143
'Algoritmo A'  'Computadora 2'    12429
'Algoritmo A'  'Computadora 2'    12456
'Algoritmo A'  'Computadora 2'    12250
'Algoritmo A'  'Computadora 2'    13449
'Algoritmo A'  'Computadora 2'    11872
'Algoritmo A'  'Computadora 2'    10463
'Algoritmo A'  'Computadora 2'     9311
'Algoritmo A'  'Computadora 2'     9677
'Algoritmo A'  'Computadora 2'    12941
'Algoritmo A'  'Computadora 2'    11260
'Algoritmo A'  'Computadora 2'     9269
'Algoritmo A'  'Computadora 2'    13926
'Algoritmo A'  'Computadora 2'    14670
'Algoritmo A'  'Computadora 2'    11988
'Algoritmo B'  'Computadora 1'    11080
'Algoritmo B'  'Computadora 1'    12089
'Algoritmo B'  'Computadora 1'    12538
'Algoritmo B'  'Computadora 1'    10571
'Algoritmo B'  'Computadora 1'    12010
'Algoritmo B'  'Computadora 1'    12598
'Algoritmo B'  'Computadora 1'    13543
'Algoritmo B'  'Computadora 1'    13547
'Algoritmo B'  'Computadora 1'    13217
'Algoritmo B'  'Computadora 1'    15297
'Algoritmo B'  'Computadora 1'    12210
'Algoritmo B'  'Computadora 1'    11299
'Algoritmo B'  'Computadora 1'    10067
'Algoritmo B'  'Computadora 1'    11279
'Algoritmo B'  'Computadora 1'    14006
'Algoritmo B'  'Computadora 1'    12099
'Algoritmo B'  'Computadora 1'    11581
'Algoritmo B'  'Computadora 1'    14012
'Algoritmo B'  'Computadora 1'    15069
'Algoritmo B'  'Computadora 1'    12000
'Algoritmo B'  'Computadora 2'    12000
'Algoritmo B'  'Computadora 2'    14011
'Algoritmo B'  'Computadora 2'    13508
'Algoritmo B'  'Computadora 2'     9506
'Algoritmo B'  'Computadora 2'    14005
'Algoritmo B'  'Computadora 2'    11514
'Algoritmo B'  'Computadora 2'    13001
'Algoritmo B'  'Computadora 2'    13220
'Algoritmo B'  'Computadora 2'    14211
'Algoritmo B'  'Computadora 2'    15016
'Algoritmo B'  'Computadora 2'    12504
'Algoritmo B'  'Computadora 2'    11501
'Algoritmo B'  'Computadora 2'     9506
'Algoritmo B'  'Computadora 2'    11514
'Algoritmo B'  'Computadora 2'    16005
'Algoritmo B'  'Computadora 2'    13018
'Algoritmo B'  'Computadora 2'    10503
'Algoritmo B'  'Computadora 2'    13015
'Algoritmo B'  'Computadora 2'    17000
'Algoritmo B'  'Computadora 2'    13020
'Algoritmo C'  'Computadora 1'     9148
'Algoritmo C'  'Computadora 1'    11247
'Algoritmo C'  'Computadora 1'    11571
'Algoritmo C'  'Computadora 1'     9212
'Algoritmo C'  'Computadora 1'    11355
'Algoritmo C'  'Computadora 1'    11848
'Algoritmo C'  'Computadora 1'    12171
'Algoritmo C'  'Computadora 1'    12360
'Algoritmo C'  'Computadora 1'    12053
'Algoritmo C'  'Computadora 1'    13219
'Algoritmo C'  'Computadora 1'    11642
'Algoritmo C'  'Computadora 1'    10918
'Algoritmo C'  'Computadora 1'     9223
'Algoritmo C'  'Computadora 1'     9574
'Algoritmo C'  'Computadora 1'    12245
'Algoritmo C'  'Computadora 1'    11781
'Algoritmo C'  'Computadora 1'     9588
'Algoritmo C'  'Computadora 1'    13093
'Algoritmo C'  'Computadora 1'    14155
'Algoritmo C'  'Computadora 1'    11309
'Algoritmo C'  'Computadora 2'    12511
'Algoritmo C'  'Computadora 2'    14375
'Algoritmo C'  'Computadora 2'    13546
'Algoritmo C'  'Computadora 2'     9962
'Algoritmo C'  'Computadora 2'    14273
'Algoritmo C'  'Computadora 2'    11515
'Algoritmo C'  'Computadora 2'    13556
'Algoritmo C'  'Computadora 2'    13121
'Algoritmo C'  'Computadora 2'    14205
'Algoritmo C'  'Computadora 2'    15424
'Algoritmo C'  'Computadora 2'    12778
'Algoritmo C'  'Computadora 2'    11096
'Algoritmo C'  'Computadora 2'     9364
'Algoritmo C'  'Computadora 2'    11521
'Algoritmo C'  'Computadora 2'    16367
'Algoritmo C'  'Computadora 2'    13060
'Algoritmo C'  'Computadora 2'    10991
'Algoritmo C'  'Computadora 2'    13048
'Algoritmo C'  'Computadora 2'    15078
'Algoritmo C'  'Computadora 2'    13443
