Algoritmo       Entrenamiento       Rendimiento   Acelerador
'Algoritmo A'        MT500           12000           NA-NA
'Algoritmo A'        MT500           14005           NA-NA
'Algoritmo A'        MT500           13508           NA-NA
'Algoritmo A'        MT500            9503           NA-NA
'Algoritmo A'        MT500           14004           NA-NA
'Algoritmo A'        MT1000          11502           NA-NA
'Algoritmo A'        MT1000          13006           NA-NA
'Algoritmo A'        MT1000          13252           NA-NA
'Algoritmo A'        MT1000          14253           NA-NA
'Algoritmo A'        MT1000          15003           NA-NA
'Algoritmo A'        MT5000          12504           NA-NA
'Algoritmo A'        MT5000          11504           NA-NA
'Algoritmo A'        MT5000           9500           NA-NA
'Algoritmo A'        MT5000          11506           NA-NA
'Algoritmo A'        MT5000          16000           NA-NA
'Algoritmo A'        MT50000         13008           NA-NA
'Algoritmo A'        MT50000         10506           NA-NA
'Algoritmo A'        MT50000         13005           NA-NA
'Algoritmo A'        MT50000         17002           NA-NA
'Algoritmo A'        MT50000         13008           NA-NA
'Algoritmo B'        MT500           11005           NA-NA
'Algoritmo B'        MT500           12007           NA-NA
'Algoritmo B'        MT500           12509           NA-NA
'Algoritmo B'        MT500           10504           NA-NA
'Algoritmo B'        MT500           12002           NA-NA
'Algoritmo B'        MT1000          12504           NA-NA
'Algoritmo B'        MT1000          13501           NA-NA
'Algoritmo B'        MT1000          13501           NA-NA
'Algoritmo B'        MT1000          13252           NA-NA
'Algoritmo B'        MT1000          15256           NA-NA
'Algoritmo B'        MT5000          12253           NA-NA
'Algoritmo B'        MT5000          11255           NA-NA
'Algoritmo B'        MT5000          10006           NA-NA
'Algoritmo B'        MT5000          11252           NA-NA
'Algoritmo B'        MT5000          14004           NA-NA
'Algoritmo B'        MT50000         12007           NA-NA
'Algoritmo B'        MT50000         11505           NA-NA
'Algoritmo B'        MT50000         14009           NA-NA
'Algoritmo B'        MT50000         15000           NA-NA
'Algoritmo B'        MT50000         12009           NA-NA
'Algoritmo C'        MT500            9000           NA-NA
'Algoritmo C'        MT500           11003           NA-NA
'Algoritmo C'        MT500           11505           NA-NA
'Algoritmo C'        MT500            9509           NA-NA
'Algoritmo C'        MT500           11003           NA-NA
'Algoritmo C'        MT1000          11508           NA-NA
'Algoritmo C'        MT1000          12508           NA-NA
'Algoritmo C'        MT1000          12506           NA-NA
'Algoritmo C'        MT1000          12254           NA-NA
'Algoritmo C'        MT1000          13253           NA-NA
'Algoritmo C'        MT5000          11255           NA-NA
'Algoritmo C'        MT5000          10257           NA-NA
'Algoritmo C'        MT5000           9500           NA-NA
'Algoritmo C'        MT5000           9255           NA-NA
'Algoritmo C'        MT5000          12009           NA-NA
'Algoritmo C'        MT50000         11000           NA-NA
'Algoritmo C'        MT50000          9509           NA-NA
'Algoritmo C'        MT50000         13009           NA-NA
'Algoritmo C'        MT50000         14005           NA-NA
'Algoritmo C'        MT50000         11001           NA-NA
'Algoritmo A'        MT500           12046           NA-SW
'Algoritmo A'        MT500           14589           NA-SW
'Algoritmo A'        MT500           13723           NA-SW
