RunningTime Objetos Architecture Effects Resolution
6.53 16000 APU 010 1280x720.sc
4.22 1000 APU 011 1440x900.sc
6.13 1000 APU 101 1280x720.sc
21.75 16000 APU 110 1440x900.sc
4.47 4000 APU 001 1280x720.sc
19.76 260000 APU 001 1280x720.sc
76.95 260000 APU 110 1440x900.sc
5.93 65000 APU 000 1280x720.sc
8.43 1000 APU 111 1440x900.sc
14.02 4000 APU 110 1920x1080.sc
6.78 1000 APU 110 1280x720.sc
7.34 1000 APU 110 1440x900.sc
9.66 4000 APU 100 1920x1080.sc
8.60 65000 APU 010 1280x720.sc
16.80 260000 APU 010 1280x720.sc
7.70 65000 APU 000 1920x1080.sc
6.88 65000 APU 000 1440x900.sc
124.75 260000 APU 101 1920x1080.sc
8.01 65000 APU 000 1920x1080.sc
10.00 16000 APU 100 1280x720.sc
4.99 4000 APU 000 1920x1080.sc
28.53 260000 APU 001 1920x1080.sc
5.37 4000 APU 010 1440x900.sc
4.76 16000 APU 000 1280x720.sc
29.47 65000 APU 011 1920x1080.sc
28.64 260000 APU 001 1920x1080.sc
3.67 1000 APU 001 1280x720.sc
7.61 16000 APU 001 1440x900.sc
136.74 65000 APU 111 1920x1080.sc
13.92 4000 APU 110 1920x1080.sc
19.01 260000 APU 010 1440x900.sc
124.42 260000 APU 101 1920x1080.sc
6.22 4000 APU 011 1440x900.sc
7.32 4000 APU 011 1920x1080.sc
4.02 1000 APU 001 1440x900.sc
92.29 260000 APU 110 1920x1080.sc
11.49 16000 APU 100 1440x900.sc
3.48 1000 APU 000 1280x720.sc
8.54 16000 APU 001 1920x1080.sc
19.19 65000 APU 100 1440x900.sc
41.84 260000 APU 011 1280x720.sc
4.27 1000 APU 010 1440x900.sc
4.18 1000 APU 001 1920x1080.sc
6.65 1000 APU 100 1920x1080.sc
15.72 65000 APU 100 1280x720.sc
16.81 260000 APU 010 1280x720.sc
23.98 260000 APU 001 1440x900.sc
15.10 16000 APU 011 1920x1080.sc
